file	command	class	count	lines
../H2SaLS/harden.sh	printf	builtin	15	78,87,100,112,175,244,245,246,283,292,329,432,435,577,595
../H2SaLS/harden.sh	grep	external	14	75,97,111,169,172,281,282,286,288,326,431,451,574,592
../H2SaLS/harden.sh	apt-get	external	12	51,54,126,127,130,637,638,640,659,662,663,665
../H2SaLS/harden.sh	set_sshd_line	function	12	262,263,264,265,266,267,268,269,270,271,272,273
../H2SaLS/harden.sh	sed	external	11	76,98,173,242,249,289,327,432,433,575,593
../H2SaLS/harden.sh	[	builtin	9	38,300,573,591,650,685,688,691,694
../H2SaLS/harden.sh	set_conf	function	9	439,440,441,442,443,444,536,537,539
../H2SaLS/harden.sh	cat	external	8	196,340,464,475,494,516,553,656
../H2SaLS/harden.sh	ufw	external	8	183,184,409,410,413,414,417,421
../H2SaLS/harden.sh	service	external	6	188,628,686,689,692,695
../H2SaLS/harden.sh	true	builtin	5	611,626,627,671,672
../H2SaLS/harden.sh	chmod	external	4	114,534,557,644
../H2SaLS/harden.sh	cp	external	4	96,256,301,568
../H2SaLS/harden.sh	mktemp	external	4	95,239,240,452
../H2SaLS/harden.sh	rm	external	4	104,259,465,626
../H2SaLS/harden.sh	echo	builtin	3	38,541,673
../H2SaLS/harden.sh	getent	external	3	58,64,109
../H2SaLS/harden.sh	:	builtin	2	86,287
../H2SaLS/harden.sh	add_psad_logging	function	2	469,470
../H2SaLS/harden.sh	awk	external	2	302,453
../H2SaLS/harden.sh	cmp	external	2	250,303
../H2SaLS/harden.sh	continue	builtin	2	573,591
../H2SaLS/harden.sh	exit	builtin	2	38,87
../H2SaLS/harden.sh	install	external	2	103,110
../H2SaLS/harden.sh	lynis	external	2	671,672
../H2SaLS/harden.sh	mail	external	2	541,673
../H2SaLS/harden.sh	read	builtin	2	572,590
../H2SaLS/harden.sh	rkhunter	external	2	611,612
../H2SaLS/harden.sh	wget	external	2	627,643
../H2SaLS/harden.sh	ansi2html	external	1	672
../H2SaLS/harden.sh	chgrp	external	1	533
../H2SaLS/harden.sh	chown	external	1	115
../H2SaLS/harden.sh	cut	external	1	109
../H2SaLS/harden.sh	dpkg-statoverride	external	1	84
../H2SaLS/harden.sh	export	builtin	1	41
../H2SaLS/harden.sh	get_url	function	1	646
../H2SaLS/harden.sh	gpg	external	1	651
../H2SaLS/harden.sh	groupadd	external	1	58
../H2SaLS/harden.sh	hostname	external	1	444
../H2SaLS/harden.sh	id	external	1	38
../H2SaLS/harden.sh	mv	external	1	304
../H2SaLS/harden.sh	openssl	external	1	65
../H2SaLS/harden.sh	psad	external	1	473
../H2SaLS/harden.sh	return	builtin	1	170
../H2SaLS/harden.sh	set	builtin	1	24
../H2SaLS/harden.sh	tee	external	1	302
../H2SaLS/harden.sh	useradd	external	1	65
../H2SaLS/harden.sh	visudo	external	1	102
