file	construct	count	lines
../H2SaLS/harden.sh	param $VAR plain	96	58,58,64,65,65,76,78,85,87,94,96,97,97,98,98,98,100,100,102,103,104,109,110,110,110,111,111,112,112,114,115,115,115,169,172,173,173,175,184,242,242,242,244,245,246,247,249,249,249,250,256,259,259,282,283,286,289,292,327,329,417,420,421,431,431,432,433,433,433,435,435,439,451,453,453,464,464,465,536,537,541,573,574,575,575,577,591,592,593,593,595,673,685,688,691,694
../H2SaLS/harden.sh	plain assign	45	27,28,30,31,32,33,34,35,36,74,84,94,95,109,160,167,168,177,194,195,239,240,257,284,290,293,305,325,404,405,406,411,415,418,423,428,429,430,432,445,450,452,471,492,503
../H2SaLS/harden.sh	func call	24	262,263,264,265,266,267,268,269,270,271,272,273,439,440,441,442,443,444,469,470,536,537,539,646
../H2SaLS/harden.sh	if/elif	23	64,75,97,111,169,172,250,281,282,286,288,300,303,326,431,451,574,592,650,685,688,691,694
../H2SaLS/harden.sh	redirect >	14	58,64,111,242,249,340,453,464,475,494,516,553,656,672
../H2SaLS/harden.sh	$(..) cmdsub	11	38,65,84,95,109,196,239,240,432,444,452
../H2SaLS/harden.sh	append >>	11	78,100,112,175,247,283,292,329,435,577,595
../H2SaLS/harden.sh	param positional $1..$9	10	167,168,428,429,430,450,643,643,644,644
../H2SaLS/harden.sh	|| or-list	8	38,58,84,611,626,627,671,672
../H2SaLS/harden.sh	heredoc unquoted	8	250,475,494,516,553,579,597,656
../H2SaLS/harden.sh	! negation	6	64,111,250,282,303,451
../H2SaLS/harden.sh	pipe stage	6	109,302,432,541,672,673
../H2SaLS/harden.sh	test [ ] numeric	5	38,685,688,691,694
../H2SaLS/harden.sh	func def	4	166,427,449,642
../H2SaLS/harden.sh	brace group { }	3	38,84,243
../H2SaLS/harden.sh	fd-dup (N>&M)	3	38,84,87
../H2SaLS/harden.sh	redirect to-null	3	58,64,111
../H2SaLS/harden.sh	test [ ] file	3	38,300,650
../H2SaLS/harden.sh	&& and-list	2	573,591
../H2SaLS/harden.sh	for	2	57,420
../H2SaLS/harden.sh	heredoc quoted	2	196,340
../H2SaLS/harden.sh	test [ ] string	2	573,591
../H2SaLS/harden.sh	while	2	572,590
../H2SaLS/harden.sh	case	1	85
../H2SaLS/harden.sh	set -eu	1	24
../H2SaLS/harden.sh	arith $((..))	0	
../H2SaLS/harden.sh	backtick cmdsub	0	
../H2SaLS/harden.sh	command -v	0	
../H2SaLS/harden.sh	env-prefix assign	0	
../H2SaLS/harden.sh	eval	0	
../H2SaLS/harden.sh	exec	0	
../H2SaLS/harden.sh	glob char (unquoted)	0	
../H2SaLS/harden.sh	heredoc <<-	0	
../H2SaLS/harden.sh	local	0	
../H2SaLS/harden.sh	param $!	0	
../H2SaLS/harden.sh	param $#	0	
../H2SaLS/harden.sh	param $$	0	
../H2SaLS/harden.sh	param $*	0	
../H2SaLS/harden.sh	param $?	0	
../H2SaLS/harden.sh	param $@	0	
../H2SaLS/harden.sh	param ${..#prefix}	0	
../H2SaLS/harden.sh	param ${..%suffix}	0	
../H2SaLS/harden.sh	param ${..:=assign}	0	
../H2SaLS/harden.sh	param ${..:-default}	0	
../H2SaLS/harden.sh	param ${..} braced	0	
../H2SaLS/harden.sh	redirect <	0	
../H2SaLS/harden.sh	set -e	0	
../H2SaLS/harden.sh	set -u	0	
../H2SaLS/harden.sh	subshell (..)	0	
../H2SaLS/harden.sh	tilde candidate	0	
../H2SaLS/harden.sh	trap	0	
../H2SaLS/harden.sh	until	0	
